Rank,Symbol,Tier,Category,FinalScore,Rating,TechnicalScore,CatalystScore,RelativeStrengthScore,Close,MA20,MA50,MA200,RelativeVolume,Return3M,SPYReturn3M,RelativeStrength3M,EarningsDate,DaysUntilEarnings,EarningsWithin14Days,Volume,AsOf,Status,CrossedMA50,CrossedMA200,Made52WeekHigh
125,DIS,Tier 1: Core Compounders,Consumer,13.6,Pass,16.2,0.0,35.8,100.86,101.37,102.66,107.2,1.3,1.45,12.02,-10.58,,,False,11167100.0,2026-06-17,OK,False,False,False
126,SES,Tier 4: Small-Cap Speculative Growth,EV & Battery,13.3,Pass,20.7,0.0,25.0,1.07,1.19,1.12,1.68,0.86,-3.6,12.02,-15.63,,,False,6467900.0,2026-06-17,OK,False,False,False
127,MNDY,Tier 2: Growth Leaders,Cloud/Data,13.2,Pass,17.4,0.0,31.1,73.38,81.34,74.09,123.78,0.59,-0.8,12.02,-12.82,,,False,1130400.0,2026-06-17,OK,False,False,False
128,EH,Tier 3: Space & Frontier Tech,Adjacent,12.2,Pass,9.7,2.0,1.4,7.06,8.62,9.68,13.23,0.78,-36.79,12.02,-48.82,,,False,1199700.0,2026-06-17,OK,False,False,False
129,OKLO,Tier 4: Small-Cap Speculative Growth,Energy & Materials,11.7,Pass,9.7,0.0,39.2,58.82,62.79,64.82,85.1,0.77,3.74,12.02,-8.28,,,False,10770600.0,2026-06-17,OK,False,False,False
130,ACHR,Tier 3: Space & Frontier Tech,Adjacent,11.7,Pass,20.9,0.0,16.9,5.36,5.99,5.97,7.74,0.87,-10.82,12.02,-22.84,,,False,47416400.0,2026-06-17,OK,False,False,False
131,SPOT,Tier 2: Growth Leaders,Consumer Growth,11.5,Pass,20.9,0.0,15.5,455.6,493.15,479.38,557.24,0.87,-11.83,12.02,-23.85,,,False,2068500.0,2026-06-17,OK,False,False,False
132,CRM,Tier 1: Core Compounders,Technology,11.4,Pass,25.1,0.0,6.8,155.02,178.91,178.59,216.88,1.21,-20.23,12.02,-32.26,,,False,19932000.0,2026-06-17,OK,False,False,False
133,PATH,Tier 2: Growth Leaders,Software & AI,10.2,Pass,20.5,0.0,10.1,10.23,11.15,10.69,13.01,0.84,-17.83,12.02,-29.86,,,False,40457100.0,2026-06-17,OK,False,False,False
134,URNM,Tier 4: Small-Cap Speculative Growth,Energy & Materials,10.0,Pass,15.2,0.0,19.6,57.08,58.23,62.93,62.21,0.42,-8.74,12.02,-20.77,,,False,329500.0,2026-06-17,OK,False,False,False
135,META,Tier 1: Core Compounders,Technology,9.7,Pass,14.0,0.0,20.3,567.58,600.87,622.6,655.71,1.12,-7.81,12.02,-19.84,,,False,20397900.0,2026-06-17,OK,False,False,False
136,RXRX,Tier 4: Small-Cap Speculative Growth,Small-Cap Speculative Growth,9.5,Pass,12.7,0.0,22.3,3.11,3.28,3.34,4.16,1.02,-6.33,12.02,-18.35,,,False,22097500.0,2026-06-17,OK,False,False,False
137,SMR,Tier 4: Small-Cap Speculative Growth,Energy & Materials,9.5,Pass,16.3,0.0,14.9,10.34,11.21,11.5,20.85,1.3,-14.05,12.02,-26.07,,,False,47804800.0,2026-06-17,OK,False,False,False
138,NFLX,Tier 1: Core Compounders,Consumer,8.7,Pass,17.4,0.0,8.8,76.96,83.64,89.67,98.57,1.39,-18.73,12.02,-30.76,,,False,50241500.0,2026-06-17,OK,False,False,False
139,ADBE,Tier 1: Core Compounders,Technology,8.6,Pass,17.9,0.0,7.4,196.28,238.64,242.54,296.05,1.43,-20.21,12.02,-32.24,,,False,10707900.0,2026-06-17,OK,False,False,False
140,AVAV,Tier 3: Space & Frontier Tech,Adjacent,8.0,Pass,17.6,0.0,4.7,167.11,183.54,183.24,258.47,0.61,-22.58,12.02,-34.6,,,False,772100.0,2026-06-17,OK,False,False,False
141,ZS,Tier 2: Growth Leaders,Cybersecurity,7.3,Pass,15.3,0.0,6.1,124.38,141.32,141.0,212.33,0.43,-20.26,12.02,-32.29,,,False,3115700.0,2026-06-17,OK,False,False,False
142,ISRG,Tier 1: Core Compounders,Healthcare,7.1,Pass,11.7,0.0,12.2,402.18,420.51,440.84,491.0,0.93,-15.81,12.02,-27.84,,,False,2236900.0,2026-06-17,OK,False,False,False
143,PLTR,Tier 2: Growth Leaders,Software & AI,7.0,Pass,10.3,0.0,14.2,130.63,138.45,138.68,160.05,0.83,-14.49,12.02,-26.52,,,False,32161500.0,2026-06-17,OK,False,False,False
144,UEC,Tier 4: Small-Cap Speculative Growth,Energy & Materials,7.0,Pass,11.0,0.0,12.8,11.42,12.61,13.8,13.94,0.88,-15.59,12.02,-27.62,,,False,10498200.0,2026-06-17,OK,False,False,False
145,MSTR,Tier 4: Small-Cap Speculative Growth,Other,6.9,Pass,11.8,0.0,10.8,116.56,137.59,154.77,192.98,0.95,-17.07,12.02,-29.1,,,False,17901400.0,2026-06-17,OK,False,False,False
146,HUBS,Tier 2: Growth Leaders,Software & AI,5.2,Pass,11.9,0.0,2.0,176.71,204.92,211.57,328.24,0.95,-32.58,12.02,-44.61,,,False,1938700.0,2026-06-17,OK,False,False,False
147,SYM,Tier 2: Growth Leaders,Robotics/Automation,4.5,Pass,7.2,0.0,8.1,40.17,46.4,52.35,58.08,0.57,-19.76,12.02,-31.78,,,False,1518300.0,2026-06-17,OK,False,False,False
148,MVST,Tier 4: Small-Cap Speculative Growth,EV & Battery,4.5,Pass,9.1,0.0,4.1,1.26,1.34,1.6,2.85,0.73,-26.74,12.02,-38.77,,,False,3197800.0,2026-06-17,OK,False,False,False
149,KTOS,Tier 3: Space & Frontier Tech,Adjacent,3.6,Pass,8.6,0.0,0.7,56.16,58.6,61.49,80.07,0.69,-39.64,12.02,-51.66,,,False,3117900.0,2026-06-17,OK,False,False,False
150,ABB,Tier 2: Growth Leaders,Robotics/Automation,0.0,Pass,0.0,0.0,0.0,,,,,,,,,,,False,,,No data,,,
151,FREY,Tier 4: Small-Cap Speculative Growth,EV & Battery,0.0,Pass,0.0,0.0,0.0,,,,,,,,,,,False,,,No data,,,
