Rank,Symbol,Tier,Category,FinalScore,Rating,TechnicalScore,CatalystScore,RelativeStrengthScore,Close,MA20,MA50,MA200,RelativeVolume,Return3M,SPYReturn3M,RelativeStrength3M,EarningsDate,DaysUntilEarnings,EarningsWithin14Days,Volume,AsOf,Status,CrossedMA50,CrossedMA200,Made52WeekHigh
25,RIOT,Tier 4: Small-Cap Speculative Growth,Other,52.9,Watch,84.3,0.0,95.9,27.43,26.29,22.41,17.74,0.74,94.54,12.02,82.52,,,False,11348200.0,2026-06-17,OK,False,False,False
26,LRCX,Tier 1: Core Compounders,Semiconductors,52.9,Watch,87.9,0.0,88.5,374.18,332.38,295.31,208.61,1.03,66.52,12.02,54.49,,,False,10879800.0,2026-06-17,OK,False,False,False
27,BLK,Tier 1: Core Compounders,Financials,52.8,Watch,49.0,6.0,45.9,1057.38,1034.83,1046.64,1069.99,1.12,9.2,12.02,-2.83,,,False,781500.0,2026-06-17,OK,False,False,False
28,XOM,User Added,Screenshot Import,52.6,Watch,42.6,8.0,17.6,140.74,148.91,150.62,134.4,1.01,-10.69,12.02,-22.72,,,False,16660800.0,2026-06-17,OK,False,False,False
29,HOOD,Tier 2: Growth Leaders,Fintech,52.1,Watch,90.0,0.0,80.4,105.2,86.4,82.08,102.75,2.1,40.45,12.02,28.43,,,False,70547100.0,2026-06-17,OK,False,True,False
30,ASML,Tier 1: Core Compounders,Semiconductors,51.5,Watch,89.9,0.0,77.7,1867.83,1713.57,1569.82,1261.6,1.19,37.83,12.02,25.81,,,False,2318300.0,2026-06-17,OK,False,False,False
31,PANW,Tier 2: Growth Leaders,Cybersecurity,51.0,Watch,82.9,0.0,89.2,282.13,271.5,222.3,195.65,0.63,67.03,12.02,55.01,,,False,5707600.0,2026-06-17,OK,False,False,False
32,UNH,Tier 1: Core Compounders,Healthcare,50.5,Watch,85.7,0.0,81.1,399.53,393.4,370.77,333.09,0.86,40.52,12.02,28.49,,,False,5832700.0,2026-06-17,OK,False,False,False
33,CAT,Tier 1: Core Compounders,Industrial,50.3,Watch,87.3,0.0,77.0,955.92,903.83,868.66,667.5,0.99,37.82,12.02,25.79,,,False,2742600.0,2026-06-17,OK,False,False,False
34,APP,Tier 4: Small-Cap Speculative Growth,Other,50.3,Watch,23.5,8.0,44.6,479.49,535.98,490.34,542.31,1.08,8.34,12.02,-3.68,,,False,5459700.0,2026-06-17,OK,False,False,False
35,ASTS,Tier 3: Space & Frontier Tech,Space & Frontier Tech,50.1,Watch,53.6,6.0,23.3,85.43,101.16,88.74,80.3,1.09,-5.85,12.02,-17.88,,,False,30226900.0,2026-06-17,OK,False,False,False
36,BEAM,Tier 4: Small-Cap Speculative Growth,Small-Cap Speculative Growth,49.8,Pass,89.0,0.0,70.9,32.48,30.27,29.99,26.91,1.12,28.28,12.02,16.25,,,False,2173700.0,2026-06-17,OK,False,False,False
37,GS,Tier 1: Core Compounders,Financials,49.7,Pass,86.5,0.0,75.7,1099.14,1036.0,970.05,874.81,0.92,36.46,12.02,24.43,,,False,2179300.0,2026-06-17,OK,False,False,False
38,AFRM,Tier 2: Growth Leaders,Fintech,49.5,Pass,80.5,0.0,86.5,70.73,68.59,64.98,66.72,1.24,59.23,12.02,47.21,,,False,6209100.0,2026-06-17,OK,False,False,False
39,TSM,Tier 1: Core Compounders,Semiconductors,48.5,Pass,86.2,0.0,70.3,432.15,423.93,403.69,333.98,0.9,27.26,12.02,15.24,,,False,10911100.0,2026-06-17,OK,False,False,False
40,IWM,Tier 5: ETFs,ETFs,48.4,Pass,91.9,0.0,58.1,289.88,288.2,280.65,257.7,1.35,17.83,12.02,5.8,,,False,39851300.0,2026-06-17,OK,False,False,False
41,JPM,Tier 1: Core Compounders,Financials,47.6,Pass,91.7,0.0,54.7,333.46,309.31,308.52,306.97,1.34,15.89,12.02,3.87,,,False,12242100.0,2026-06-17,OK,False,False,False
42,GE,Tier 1: Core Compounders,Industrial,47.5,Pass,88.0,0.0,61.5,357.03,324.2,306.74,305.02,1.04,18.63,12.02,6.61,,,False,5027300.0,2026-06-17,OK,False,False,False
43,CFG,User Added,Screenshot Import,47.4,Pass,88.9,0.0,59.1,66.78,64.11,63.96,58.65,1.11,17.92,12.02,5.9,,,False,4914300.0,2026-06-17,OK,False,False,False
44,MARA,Tier 4: Small-Cap Speculative Growth,Other,47.3,Pass,75.9,0.0,84.5,13.92,13.86,12.54,12.55,0.87,56.05,12.02,44.03,,,False,34299800.0,2026-06-17,OK,False,False,False
45,LLY,Tier 1: Core Compounders,Healthcare,46.7,Pass,84.3,0.0,64.9,1112.0,1103.74,1008.19,964.27,0.75,21.13,12.02,9.1,,,False,2382000.0,2026-06-17,OK,False,False,False
46,CRWV,User Added,Screenshot Import,46.6,Pass,76.7,0.0,79.7,115.21,106.8,110.79,100.27,0.93,39.11,12.02,27.08,,,False,26503400.0,2026-06-17,OK,False,False,False
47,NTLA,Tier 4: Small-Cap Speculative Growth,Small-Cap Speculative Growth,46.3,Pass,89.1,0.0,53.4,15.2,13.35,13.72,13.45,1.92,15.06,12.02,3.04,,,False,12422200.0,2026-06-17,OK,False,False,False
48,GEV,User Added,Screenshot Import,46.2,Pass,82.0,0.0,66.9,1048.86,976.45,1018.84,769.99,1.36,22.18,12.02,10.15,,,False,3988500.0,2026-06-17,OK,True,False,False
49,CLSK,Tier 4: Small-Cap Speculative Growth,Other,45.9,Pass,68.7,0.0,91.9,16.78,16.82,14.18,13.01,0.7,69.84,12.02,57.81,,,False,16668300.0,2026-06-17,OK,False,False,False
50,RKLB,Tier 3: Space & Frontier Tech,Space & Frontier Tech,45.9,Pass,72.9,0.0,83.8,107.98,121.84,103.14,73.5,1.03,55.41,12.02,43.39,,,False,28624900.0,2026-06-17,OK,False,False,False
51,DIA,Tier 5: ETFs,ETFs,45.8,Pass,89.9,0.0,49.3,516.3,509.84,499.03,481.46,1.19,11.51,12.02,-0.51,,,False,6543900.0,2026-06-17,OK,False,False,False
52,BBAI,Tier 4: Small-Cap Speculative Growth,Other,45.8,Pass,15.9,8.0,37.2,3.88,4.38,4.1,5.22,0.47,2.11,12.02,-9.92,,,False,22735400.0,2026-06-17,OK,False,False,False
53,QS,Tier 3: Space & Frontier Tech,Adjacent,45.7,Pass,17.6,8.0,33.1,6.9,8.07,7.6,10.08,0.61,0.73,12.02,-11.29,,,False,12829000.0,2026-06-17,OK,False,False,False
54,DDOG,Tier 2: Growth Leaders,Software & AI,45.6,Pass,67.4,0.0,93.2,226.63,234.35,183.93,151.0,0.6,72.66,12.02,60.63,,,False,3534800.0,2026-06-17,OK,False,False,False
55,XLI,Tier 5: ETFs,ETFs,45.6,Pass,91.3,0.0,45.3,179.6,174.39,173.26,162.98,1.3,8.73,12.02,-3.29,,,False,11051500.0,2026-06-17,OK,False,False,False
56,IONQ,Tier 4: Small-Cap Speculative Growth,Small-Cap Speculative Growth,45.1,Pass,67.8,0.0,89.9,54.69,62.07,51.88,49.22,0.63,68.9,12.02,56.88,,,False,19445400.0,2026-06-17,OK,False,False,False
