run_date,symbol,alert_type,message,delivered,inserted_at
2026-06-17,FREY,50-day MA cross,FREY crossed above its 50-day moving average.,0,2026-06-17T16:53:01.372701+00:00
2026-06-17,FREY,200-day MA cross,FREY crossed above its 200-day moving average.,0,2026-06-17T16:53:01.372701+00:00
2026-06-17,FREY,52-week high,FREY made a 52-week high.,0,2026-06-17T16:53:01.372701+00:00
2026-06-17,RTX,Catalyst score >= 8,RTX catalyst score is 8.0.,0,2026-06-17T16:22:29.378903+00:00
2026-06-17,CFLT,Catalyst score >= 8,CFLT catalyst score is 8.0.,0,2026-06-17T16:22:29.378903+00:00
2026-06-17,RDW,Catalyst score >= 8,RDW catalyst score is 8.0.,0,2026-06-17T16:22:29.378903+00:00
2026-06-17,SATL,Catalyst score >= 8,SATL catalyst score is 8.0.,0,2026-06-17T16:22:29.378903+00:00
2026-06-17,IRDM,Catalyst score >= 8,IRDM catalyst score is 8.0.,0,2026-06-17T16:22:29.378903+00:00
2026-06-17,MDA,Catalyst score >= 8,MDA catalyst score is 8.0.,0,2026-06-17T16:22:29.378903+00:00
2026-06-17,QS,Catalyst score >= 8,QS catalyst score is 8.0.,0,2026-06-17T16:22:29.378903+00:00
2026-06-17,APLD,Catalyst score >= 8,APLD catalyst score is 8.0.,0,2026-06-17T16:22:29.378903+00:00
2026-06-17,BBAI,Catalyst score >= 8,BBAI catalyst score is 8.0.,0,2026-06-17T16:22:29.378903+00:00
